2016-05-10 11:28:20 startup archives unpack
2016-05-10 11:28:20 upgrade tzdata:all 2016c-0+deb8u1 2016d-0+deb8u1
2016-05-10 11:28:20 status half-configured tzdata:all 2016c-0+deb8u1
2016-05-10 11:28:20 status unpacked tzdata:all 2016c-0+deb8u1
2016-05-10 11:28:20 status half-installed tzdata:all 2016c-0+deb8u1
2016-05-10 11:28:21 status half-installed tzdata:all 2016c-0+deb8u1
2016-05-10 11:28:21 status unpacked tzdata:all 2016d-0+deb8u1
2016-05-10 11:28:21 status unpacked tzdata:all 2016d-0+deb8u1
2016-05-10 11:28:21 startup packages configure
2016-05-10 11:28:21 configure tzdata:all 2016d-0+deb8u1 <none>
2016-05-10 11:28:21 status unpacked tzdata:all 2016d-0+deb8u1
2016-05-10 11:28:21 status half-configured tzdata:all 2016d-0+deb8u1
2016-05-10 11:28:21 status installed tzdata:all 2016d-0+deb8u1
2016-05-10 11:28:21 startup packages configure
2016-05-10 11:28:43 startup archives unpack
2016-05-10 11:28:43 install libgdbm3:amd64 <none> 1.8.3-13.1
2016-05-10 11:28:43 status half-installed libgdbm3:amd64 1.8.3-13.1
2016-05-10 11:28:43 status unpacked libgdbm3:amd64 1.8.3-13.1
2016-05-10 11:28:43 status unpacked libgdbm3:amd64 1.8.3-13.1
2016-05-10 11:28:43 install libjson-c2:amd64 <none> 0.11-4
2016-05-10 11:28:43 status half-installed libjson-c2:amd64 0.11-4
2016-05-10 11:28:43 status unpacked libjson-c2:amd64 0.11-4
2016-05-10 11:28:43 status unpacked libjson-c2:amd64 0.11-4
2016-05-10 11:28:44 install libssl1.0.0:amd64 <none> 1.0.1k-3+deb8u5
2016-05-10 11:28:44 status half-installed libssl1.0.0:amd64 1.0.1k-3+deb8u5
2016-05-10 11:28:44 status unpacked libssl1.0.0:amd64 1.0.1k-3+deb8u5
2016-05-10 11:28:44 status unpacked libssl1.0.0:amd64 1.0.1k-3+deb8u5
2016-05-10 11:28:44 install libbsd0:amd64 <none> 0.7.0-2
2016-05-10 11:28:44 status half-installed libbsd0:amd64 0.7.0-2
2016-05-10 11:28:44 status unpacked libbsd0:amd64 0.7.0-2
2016-05-10 11:28:44 status unpacked libbsd0:amd64 0.7.0-2
2016-05-10 11:28:44 install libedit2:amd64 <none> 3.1-20140620-2
2016-05-10 11:28:44 status half-installed libedit2:amd64 3.1-20140620-2
2016-05-10 11:28:44 status unpacked libedit2:amd64 3.1-20140620-2
2016-05-10 11:28:44 status unpacked libedit2:amd64 3.1-20140620-2
2016-05-10 11:28:44 install libgmp10:amd64 <none> 2:6.0.0+dfsg-6
2016-05-10 11:28:44 status half-installed libgmp10:amd64 2:6.0.0+dfsg-6
2016-05-10 11:28:44 status unpacked libgmp10:amd64 2:6.0.0+dfsg-6
2016-05-10 11:28:44 status unpacked libgmp10:amd64 2:6.0.0+dfsg-6
2016-05-10 11:28:44 install libnettle4:amd64 <none> 2.7.1-5+deb8u1
2016-05-10 11:28:44 status half-installed libnettle4:amd64 2.7.1-5+deb8u1
2016-05-10 11:28:45 status unpacked libnettle4:amd64 2.7.1-5+deb8u1
2016-05-10 11:28:45 status unpacked libnettle4:amd64 2.7.1-5+deb8u1
2016-05-10 11:28:45 install libhogweed2:amd64 <none> 2.7.1-5+deb8u1
2016-05-10 11:28:45 status half-installed libhogweed2:amd64 2.7.1-5+deb8u1
2016-05-10 11:28:45 status unpacked libhogweed2:amd64 2.7.1-5+deb8u1
2016-05-10 11:28:45 status unpacked libhogweed2:amd64 2.7.1-5+deb8u1
2016-05-10 11:28:45 install libffi6:amd64 <none> 3.1-2+b2
2016-05-10 11:28:45 status half-installed libffi6:amd64 3.1-2+b2
2016-05-10 11:28:45 status unpacked libffi6:amd64 3.1-2+b2
2016-05-10 11:28:45 status unpacked libffi6:amd64 3.1-2+b2
2016-05-10 11:28:45 install libp11-kit0:amd64 <none> 0.20.7-1
2016-05-10 11:28:45 status half-installed libp11-kit0:amd64 0.20.7-1
